ページ番号,使用するコマ割りテンプレ,漫画作成のプロンプト,コマ別テキストJSON,outfit_id
1,テキストページ,"◆【テキストページ】このページは画像生成不要。EPUB製本時にテキストとして直接レンダリングする。
◆【目次】
ソマチッドとは何か 漫画版 第1巻 ソマチッドという言葉の入口

【目次】
　プロローグ 小さな光の正体
　第1話 動画の中の小さな粒
　第2話 見えることと意味づけ
　第3話 未確立という言葉
　巻末まとめ 主張・根拠・行動",[],
2,テキストページ,"◆【テキストページ】このページは画像生成不要。EPUB製本時にテキストとして直接レンダリングする。
◆【読む前に】
この漫画は健康情報リテラシーを学ぶための作品です。ソマチッドを診断法・治療法として推奨しません。体調や治療に関する判断は、医師などの専門家に相談してください。",[],
3,テンプレ5,"◆【注意】【】で囲まれた語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【医療安全】ソマチッドを診断法・治療法として推奨しない。標準医療の中止や受診遅れを促さない。健康行動は専門家相談を前提に描く。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白。吹き出しと文字枠は読みやすく、文字量を詰め込みすぎない。
◆【絶対最優先】キャラクター外見: 美奈は添付の美奈.pngと100%同一の外見で描画（35歳女性、肩につく黒髪、淡いブルーのブラウス、ネイビーのロングスカート。健康情報に不安と好奇心を持つ読者代表。） / 佐伯は添付の佐伯.pngと100%同一の外見で描画（48歳男性、短い黒髪に少し白髪、薄い縁の眼鏡、白シャツと深緑のカーディガン。科学コミュニケーター。） / 陽斗は添付の陽斗.pngと100%同一の外見で描画（18歳男性、短めの黒髪、ライトグレーのパーカー、黒いパンツ。SNSや動画に詳しい若者。）
◆【コマ構成】テンプレ5: 上中下3段
◆【作画】ジャンル: 教養漫画に最適化した統一スタイル / 作画スタイル: 落ち着いた日本のアニメ・マンガ調、清潔な線画、フルカラー / 色調: 白・淡い青・深緑・暖かい橙をバランスよく使う / 演出: 不安を煽らず、図解・ノート・ホワイトボードを活用する
◆【ストーリー】
1コマ目 (上段): 美奈の紹介。 セリフ: なし ナレーション: ［四角枠］美奈 35歳 健康情報に揺れる読者代表 オノマトペ: なし
2コマ目 (中段): 佐伯の紹介。 セリフ: なし ナレーション: ［四角枠］佐伯 48歳 情報を整理する案内役 オノマトペ: なし
3コマ目 (下段): 陽斗の紹介。 セリフ: なし ナレーション: ［四角枠］陽斗 18歳 SNS世代の視点 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""美奈 35歳 健康情報に揺れる読者代表""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""佐伯 48歳 情報を整理する案内役""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""陽斗 18歳 SNS世代の視点""}]",mina_casual
4,テンプレ1,"◆【注意】【】で囲まれた語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【医療安全】ソマチッドを診断法・治療法として推奨しない。標準医療の中止や受診遅れを促さない。健康行動は専門家相談を前提に描く。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白。吹き出しと文字枠は読みやすく、文字量を詰め込みすぎない。
◆【コマ構成】テンプレ1: 全面1コマ
◆【作画】ジャンル: 教養漫画に最適化した統一スタイル / 作画スタイル: 落ち着いた日本のアニメ・マンガ調、清潔な線画、フルカラー / 色調: 白・淡い青・深緑・暖かい橙をバランスよく使う / 演出: 不安を煽らず、図解・ノート・ホワイトボードを活用する
◆【ストーリー】
1コマ目 (全面): 扉ページ。タイトル「第1巻 ソマチッドという言葉の入口」を中央に大きく配置。背景は図書館、ノート、顕微鏡風の小さな光を落ち着いた教養漫画の雰囲気で描く。 セリフ: なし ナレーション: なし オノマトペ: なし",[],
5,テンプレ3,"◆【注意】【】で囲まれた語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【医療安全】ソマチッドを診断法・治療法として推奨しない。標準医療の中止や受診遅れを促さない。健康行動は専門家相談を前提に描く。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白。吹き出しと文字枠は読みやすく、文字量を詰め込みすぎない。
◆【絶対最優先】キャラクター外見: 美奈は添付の美奈.pngと100%同一の外見で描画（35歳女性、肩につく黒髪、淡いブルーのブラウス、ネイビーのロングスカート。健康情報に不安と好奇心を持つ読者代表。）
◆【補足情報】服装: mina_home
◆【コマ構成】テンプレ3: 上・小 / 下・大
◆【作画】ジャンル: 教養漫画に最適化した統一スタイル / 作画スタイル: 落ち着いた日本のアニメ・マンガ調、清潔な線画、フルカラー / 色調: 白・淡い青・深緑・暖かい橙をバランスよく使う / 演出: 不安を煽らず、図解・ノート・ホワイトボードを活用する
◆【ストーリー】
1コマ目 (上・小): 夜の自宅の全景。美奈がスマートフォンでソマチッド動画を見る。画面には顕微鏡風の粒。 セリフ: なし ナレーション: ［四角枠］まだ判断しない。まず情報を分けよう。 オノマトペ: なし
2コマ目 (下・大): 美奈の表情を大きく描く。 セリフ: 美奈「これは、本当ならすごい話かも。」 ナレーション: なし オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""まだ判断しない。まず情報を分けよう。""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""美奈"", ""text"": ""これは、本当ならすごい話かも。""}]",mina_casual
6,テンプレ5,"◆【注意】【】で囲まれた語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【医療安全】ソマチッドを診断法・治療法として推奨しない。標準医療の中止や受診遅れを促さない。健康行動は専門家相談を前提に描く。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白。吹き出しと文字枠は読みやすく、文字量を詰め込みすぎない。
◆【絶対最優先】キャラクター外見: 美奈は添付の美奈.pngと100%同一の外見で描画（35歳女性、肩につく黒髪、淡いブルーのブラウス、ネイビーのロングスカート。健康情報に不安と好奇心を持つ読者代表。）
◆【補足情報】服装: mina_home
◆【コマ構成】テンプレ5: 上段 / 中段 / 下段
◆【作画】ジャンル: 教養漫画に最適化した統一スタイル / 作画スタイル: 落ち着いた日本のアニメ・マンガ調、清潔な線画、フルカラー / 色調: 白・淡い青・深緑・暖かい橙をバランスよく使う / 演出: 不安を煽らず、図解・ノート・ホワイトボードを活用する
◆【ストーリー】
1コマ目 (上段): 夜の自宅。状況が伝わる引きの絵。 セリフ: なし ナレーション: ［四角枠］不安は、強い説明に引き寄せられる。 オノマトペ: なし
2コマ目 (中段): 動画の強い言葉に美奈の不安が反応する。 セリフ: 美奈「疲れの理由がわかるなら知りたい。」 ナレーション: なし オノマトペ: なし
3コマ目 (下段): ノートや図解で要点を整理する。 セリフ: なし ナレーション: ［四角枠］主張・根拠・行動を分けて読む。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""不安は、強い説明に引き寄せられる。""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""美奈"", ""text"": ""疲れの理由がわかるなら知りたい。""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""主張・根拠・行動を分けて読む。""}]",mina_casual
7,テンプレ2,"◆【注意】【】で囲まれた語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【医療安全】ソマチッドを診断法・治療法として推奨しない。標準医療の中止や受診遅れを促さない。健康行動は専門家相談を前提に描く。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白。吹き出しと文字枠は読みやすく、文字量を詰め込みすぎない。
◆【絶対最優先】キャラクター外見: 陽斗は添付の陽斗.pngと100%同一の外見で描画（18歳男性、短めの黒髪、ライトグレーのパーカー、黒いパンツ。SNSや動画に詳しい若者。）
◆【補足情報】服装: haruto_casual
◆【コマ構成】テンプレ2: 右上 / 左上 / 下段
◆【作画】ジャンル: 教養漫画に最適化した統一スタイル / 作画スタイル: 落ち着いた日本のアニメ・マンガ調、清潔な線画、フルカラー / 色調: 白・淡い青・深緑・暖かい橙をバランスよく使う / 演出: 不安を煽らず、図解・ノート・ホワイトボードを活用する
◆【ストーリー】
1コマ目 (右上): リビング。状況が伝わる引きの絵。 セリフ: なし ナレーション: ［四角枠］人気と根拠は別に見る。 オノマトペ: なし
2コマ目 (左上): 陽斗が再生数とコメント欄を見て盛り上がる。 セリフ: 陽斗「再生数すごい。みんな信じてる感じだよ。」 ナレーション: なし オノマトペ: なし
3コマ目 (下段): ノートや図解で要点を整理する。 セリフ: なし ナレーション: ［四角枠］主張・根拠・行動を分けて読む。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""人気と根拠は別に見る。""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""陽斗"", ""text"": ""再生数すごい。みんな信じてる感じだよ。""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""主張・根拠・行動を分けて読む。""}]",haruto_casual
8,テンプレ4,"◆【注意】【】で囲まれた語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【医療安全】ソマチッドを診断法・治療法として推奨しない。標準医療の中止や受診遅れを促さない。健康行動は専門家相談を前提に描く。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白。吹き出しと文字枠は読みやすく、文字量を詰め込みすぎない。
◆【絶対最優先】キャラクター外見: 佐伯は添付の佐伯.pngと100%同一の外見で描画（48歳男性、短い黒髪に少し白髪、薄い縁の眼鏡、白シャツと深緑のカーディガン。科学コミュニケーター。） / 陽斗は添付の陽斗.pngと100%同一の外見で描画（18歳男性、短めの黒髪、ライトグレーのパーカー、黒いパンツ。SNSや動画に詳しい若者。）
◆【補足情報】服装: saeki_default
◆【コマ構成】テンプレ4: 上段 / 中段 / 下段
◆【作画】ジャンル: 教養漫画に最適化した統一スタイル / 作画スタイル: 落ち着いた日本のアニメ・マンガ調、清潔な線画、フルカラー / 色調: 白・淡い青・深緑・暖かい橙をバランスよく使う / 演出: 不安を煽らず、図解・ノート・ホワイトボードを活用する
◆【ストーリー】
1コマ目 (上段): 図書館。状況が伝わる引きの絵。 セリフ: なし ナレーション: ［四角枠］最初の棚は、主張・根拠・行動。 オノマトペ: なし
2コマ目 (中段): 美奈と陽斗が佐伯に相談する。 セリフ: 佐伯「信じるか否定するかを急がなくていい。」 ナレーション: なし オノマトペ: なし
3コマ目 (下段): ノートや図解で要点を整理する。 セリフ: なし ナレーション: ［四角枠］主張・根拠・行動を分けて読む。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""最初の棚は、主張・根拠・行動。""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""佐伯"", ""text"": ""信じるか否定するかを急がなくていい。""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""主張・根拠・行動を分けて読む。""}]",saeki_default
9,テンプレ6,"◆【注意】【】で囲まれた語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【医療安全】ソマチッドを診断法・治療法として推奨しない。標準医療の中止や受診遅れを促さない。健康行動は専門家相談を前提に描く。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白。吹き出しと文字枠は読みやすく、文字量を詰め込みすぎない。
◆【絶対最優先】キャラクター外見: 佐伯は添付の佐伯.pngと100%同一の外見で描画（48歳男性、短い黒髪に少し白髪、薄い縁の眼鏡、白シャツと深緑のカーディガン。科学コミュニケーター。）
◆【補足情報】服装: saeki_default
◆【コマ構成】テンプレ6: 右上 / 左上 / 右下 / 左下
◆【作画】ジャンル: 教養漫画に最適化した統一スタイル / 作画スタイル: 落ち着いた日本のアニメ・マンガ調、清潔な線画、フルカラー / 色調: 白・淡い青・深緑・暖かい橙をバランスよく使う / 演出: 不安を煽らず、図解・ノート・ホワイトボードを活用する
◆【ストーリー】
1コマ目 (右上): 図書館。状況が伝わる引きの絵。 セリフ: なし ナレーション: ［四角枠］健康情報は棚分けから始める。 オノマトペ: なし
2コマ目 (左上): 佐伯がノートに三つの欄を書く。 セリフ: 佐伯「この三つに分けるだけで温度が下がります。」 ナレーション: なし オノマトペ: なし
3コマ目 (右下): ノートや図解で要点を整理する。 セリフ: なし ナレーション: ［四角枠］主張・根拠・行動を分けて読む。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""健康情報は棚分けから始める。""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""佐伯"", ""text"": ""この三つに分けるだけで温度が下がります。""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""主張・根拠・行動を分けて読む。""}]",saeki_default
10,テンプレ5,"◆【注意】【】で囲まれた語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【医療安全】ソマチッドを診断法・治療法として推奨しない。標準医療の中止や受診遅れを促さない。健康行動は専門家相談を前提に描く。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白。吹き出しと文字枠は読みやすく、文字量を詰め込みすぎない。
◆【絶対最優先】キャラクター外見: 佐伯は添付の佐伯.pngと100%同一の外見で描画（48歳男性、短い黒髪に少し白髪、薄い縁の眼鏡、白シャツと深緑のカーディガン。科学コミュニケーター。）
◆【補足情報】服装: saeki_default
◆【コマ構成】テンプレ5: 上段 / 中段 / 下段
◆【作画】ジャンル: 教養漫画に最適化した統一スタイル / 作画スタイル: 落ち着いた日本のアニメ・マンガ調、清潔な線画、フルカラー / 色調: 白・淡い青・深緑・暖かい橙をバランスよく使う / 演出: 不安を煽らず、図解・ノート・ホワイトボードを活用する
◆【ストーリー】
1コマ目 (上段): 講座室。状況が伝わる引きの絵。 セリフ: なし ナレーション: ［四角枠］まず医学用語か独自概念かを確認する。 オノマトペ: なし
2コマ目 (中段): ソマチッドが標準的検査項目ではないと説明する。 セリフ: 佐伯「一般の血液検査に、ソマチッド数はありません。」 ナレーション: なし オノマトペ: なし
3コマ目 (下段): ノートや図解で要点を整理する。 セリフ: なし ナレーション: ［四角枠］主張・根拠・行動を分けて読む。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""まず医学用語か独自概念かを確認する。""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""佐伯"", ""text"": ""一般の血液検査に、ソマチッド数はありません。""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""主張・根拠・行動を分けて読む。""}]",saeki_default
