ページ番号,使用するコマ割りテンプレ,漫画作成のプロンプト,コマ別テキストJSON,outfit_id
1,テキストページ,"◆【テキストページ】このページは画像生成不要。EPUB製本時にテキストとして直接レンダリングする。
◆【目次】
ソマチッドとは何か 漫画版 第3巻 何が主張されてきたのか

【目次】
　第1話 図の説得力
　第2話 主張の階段
　第3話 体験談と健康語
　巻末まとめ ラベルを貼る",[],
2,テキストページ,"◆【テキストページ】このページは画像生成不要。EPUB製本時にテキストとして直接レンダリングする。
◆【読む前に】
この漫画は健康情報リテラシーを学ぶための作品です。ソマチッドを診断法・治療法として推奨しません。体調や治療に関する判断は、医師などの専門家に相談してください。",[],
3,テンプレ5,"◆【注意】【】で囲まれた語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【医療安全】ソマチッドを診断法・治療法として推奨しない。標準医療の中止や受診遅れを促さない。健康行動は専門家相談を前提に描く。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白。吹き出しと文字枠は読みやすく、文字量を詰め込みすぎない。
◆【絶対最優先】キャラクター外見: 美奈は添付の美奈.pngと100%同一の外見で描画（35歳女性、肩につく黒髪、淡いブルーのブラウス、ネイビーのロングスカート。健康情報に不安と好奇心を持つ読者代表。） / 佐伯は添付の佐伯.pngと100%同一の外見で描画（48歳男性、短い黒髪に少し白髪、薄い縁の眼鏡、白シャツと深緑のカーディガン。科学コミュニケーター。） / 陽斗は添付の陽斗.pngと100%同一の外見で描画（18歳男性、短めの黒髪、ライトグレーのパーカー、黒いパンツ。SNSや動画に詳しい若者。）
◆【コマ構成】テンプレ5: 上中下3段
◆【作画】ジャンル: 教養漫画に最適化した統一スタイル / 作画スタイル: 落ち着いた日本のアニメ・マンガ調、清潔な線画、フルカラー / 色調: 白・淡い青・深緑・暖かい橙をバランスよく使う / 演出: 不安を煽らず、図解・ノート・ホワイトボードを活用する
◆【ストーリー】
1コマ目 (上段): 美奈の紹介。 セリフ: なし ナレーション: ［四角枠］美奈 35歳 健康情報に揺れる読者代表 オノマトペ: なし
2コマ目 (中段): 佐伯の紹介。 セリフ: なし ナレーション: ［四角枠］佐伯 48歳 情報を整理する案内役 オノマトペ: なし
3コマ目 (下段): 陽斗の紹介。 セリフ: なし ナレーション: ［四角枠］陽斗 18歳 SNS世代の視点 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""美奈 35歳 健康情報に揺れる読者代表""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""佐伯 48歳 情報を整理する案内役""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""陽斗 18歳 SNS世代の視点""}]",mina_casual
4,テンプレ1,"◆【注意】【】で囲まれた語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【医療安全】ソマチッドを診断法・治療法として推奨しない。標準医療の中止や受診遅れを促さない。健康行動は専門家相談を前提に描く。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白。吹き出しと文字枠は読みやすく、文字量を詰め込みすぎない。
◆【コマ構成】テンプレ1: 全面1コマ
◆【作画】ジャンル: 教養漫画に最適化した統一スタイル / 作画スタイル: 落ち着いた日本のアニメ・マンガ調、清潔な線画、フルカラー / 色調: 白・淡い青・深緑・暖かい橙をバランスよく使う / 演出: 不安を煽らず、図解・ノート・ホワイトボードを活用する
◆【ストーリー】
1コマ目 (全面): 扉ページ。タイトル「第3巻 何が主張されてきたのか」を中央に大きく配置。背景は図書館、ノート、顕微鏡風の小さな光を落ち着いた教養漫画の雰囲気で描く。 セリフ: なし ナレーション: なし オノマトペ: なし",[],
5,テンプレ3,"◆【注意】【】で囲まれた語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【医療安全】ソマチッドを診断法・治療法として推奨しない。標準医療の中止や受診遅れを促さない。健康行動は専門家相談を前提に描く。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白。吹き出しと文字枠は読みやすく、文字量を詰め込みすぎない。
◆【絶対最優先】キャラクター外見: 陽斗は添付の陽斗.pngと100%同一の外見で描画（18歳男性、短めの黒髪、ライトグレーのパーカー、黒いパンツ。SNSや動画に詳しい若者。） / 佐伯は添付の佐伯.pngと100%同一の外見で描画（48歳男性、短い黒髪に少し白髪、薄い縁の眼鏡、白シャツと深緑のカーディガン。科学コミュニケーター。）
◆【補足情報】服装: haruto_casual
◆【コマ構成】テンプレ3: 上・小 / 下・大
◆【作画】ジャンル: 教養漫画に最適化した統一スタイル / 作画スタイル: 落ち着いた日本のアニメ・マンガ調、清潔な線画、フルカラー / 色調: 白・淡い青・深緑・暖かい橙をバランスよく使う / 演出: 不安を煽らず、図解・ノート・ホワイトボードを活用する
◆【ストーリー】
1コマ目 (上・小): 講座室の全景。ソマチッドのサイクル図を眺める。 セリフ: なし ナレーション: ［四角枠］図は理解の助けで、証拠そのものではない。 オノマトペ: なし
2コマ目 (下・大): 陽斗の表情を大きく描く。 セリフ: 陽斗「図になると急に説得力が出る。」 ナレーション: なし オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""図は理解の助けで、証拠そのものではない。""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""陽斗"", ""text"": ""図になると急に説得力が出る。""}]",haruto_casual
6,テンプレ5,"◆【注意】【】で囲まれた語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【医療安全】ソマチッドを診断法・治療法として推奨しない。標準医療の中止や受診遅れを促さない。健康行動は専門家相談を前提に描く。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白。吹き出しと文字枠は読みやすく、文字量を詰め込みすぎない。
◆【絶対最優先】キャラクター外見: 佐伯は添付の佐伯.pngと100%同一の外見で描画（48歳男性、短い黒髪に少し白髪、薄い縁の眼鏡、白シャツと深緑のカーディガン。科学コミュニケーター。）
◆【補足情報】服装: saeki_default
◆【コマ構成】テンプレ5: 上段 / 中段 / 下段
◆【作画】ジャンル: 教養漫画に最適化した統一スタイル / 作画スタイル: 落ち着いた日本のアニメ・マンガ調、清潔な線画、フルカラー / 色調: 白・淡い青・深緑・暖かい橙をバランスよく使う / 演出: 不安を煽らず、図解・ノート・ホワイトボードを活用する
◆【ストーリー】
1コマ目 (上段): ホワイトボード。状況が伝わる引きの絵。 セリフ: なし ナレーション: ［四角枠］途中を飛ばすと危ない。 オノマトペ: なし
2コマ目 (中段): 見えた・関係・原因・診断・治療の階段を描く。 セリフ: 佐伯「階段を一段ずつ見ます。」 ナレーション: なし オノマトペ: なし
3コマ目 (下段): ノートや図解で要点を整理する。 セリフ: なし ナレーション: ［四角枠］主張・根拠・行動を分けて読む。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""途中を飛ばすと危ない。""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""佐伯"", ""text"": ""階段を一段ずつ見ます。""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""主張・根拠・行動を分けて読む。""}]",saeki_default
7,テンプレ2,"◆【注意】【】で囲まれた語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【医療安全】ソマチッドを診断法・治療法として推奨しない。標準医療の中止や受診遅れを促さない。健康行動は専門家相談を前提に描く。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白。吹き出しと文字枠は読みやすく、文字量を詰め込みすぎない。
◆【絶対最優先】キャラクター外見: 美奈は添付の美奈.pngと100%同一の外見で描画（35歳女性、肩につく黒髪、淡いブルーのブラウス、ネイビーのロングスカート。健康情報に不安と好奇心を持つ読者代表。） / 佐伯は添付の佐伯.pngと100%同一の外見で描画（48歳男性、短い黒髪に少し白髪、薄い縁の眼鏡、白シャツと深緑のカーディガン。科学コミュニケーター。）
◆【補足情報】服装: mina_casual
◆【コマ構成】テンプレ2: 右上 / 左上 / 下段
◆【作画】ジャンル: 教養漫画に最適化した統一スタイル / 作画スタイル: 落ち着いた日本のアニメ・マンガ調、清潔な線画、フルカラー / 色調: 白・淡い青・深緑・暖かい橙をバランスよく使う / 演出: 不安を煽らず、図解・ノート・ホワイトボードを活用する
◆【ストーリー】
1コマ目 (右上): 講座室。状況が伝わる引きの絵。 セリフ: なし ナレーション: ［四角枠］気づくだけで距離ができる。 オノマトペ: なし
2コマ目 (左上): 美奈が自分の飛躍に気づく。 セリフ: 美奈「私は原因まで一気に考えていました。」 ナレーション: なし オノマトペ: なし
3コマ目 (下段): ノートや図解で要点を整理する。 セリフ: なし ナレーション: ［四角枠］主張・根拠・行動を分けて読む。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""気づくだけで距離ができる。""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""美奈"", ""text"": ""私は原因まで一気に考えていました。""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""主張・根拠・行動を分けて読む。""}]",mina_casual
8,テンプレ4,"◆【注意】【】で囲まれた語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【医療安全】ソマチッドを診断法・治療法として推奨しない。標準医療の中止や受診遅れを促さない。健康行動は専門家相談を前提に描く。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白。吹き出しと文字枠は読みやすく、文字量を詰め込みすぎない。
◆【絶対最優先】キャラクター外見: 佐伯は添付の佐伯.pngと100%同一の外見で描画（48歳男性、短い黒髪に少し白髪、薄い縁の眼鏡、白シャツと深緑のカーディガン。科学コミュニケーター。）
◆【補足情報】服装: saeki_default
◆【コマ構成】テンプレ4: 上段 / 中段 / 下段
◆【作画】ジャンル: 教養漫画に最適化した統一スタイル / 作画スタイル: 落ち着いた日本のアニメ・マンガ調、清潔な線画、フルカラー / 色調: 白・淡い青・深緑・暖かい橙をバランスよく使う / 演出: 不安を煽らず、図解・ノート・ホワイトボードを活用する
◆【ストーリー】
1コマ目 (上段): カード整理。状況が伝わる引きの絵。 セリフ: なし ナレーション: ［四角枠］存在主張は入口。 オノマトペ: なし
2コマ目 (中段): 存在主張をカードにする。 セリフ: 佐伯「まず、何かが存在するという主張です。」 ナレーション: なし オノマトペ: なし
3コマ目 (下段): ノートや図解で要点を整理する。 セリフ: なし ナレーション: ［四角枠］主張・根拠・行動を分けて読む。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""存在主張は入口。""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""佐伯"", ""text"": ""まず、何かが存在するという主張です。""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""主張・根拠・行動を分けて読む。""}]",saeki_default
9,テンプレ6,"◆【注意】【】で囲まれた語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【医療安全】ソマチッドを診断法・治療法として推奨しない。標準医療の中止や受診遅れを促さない。健康行動は専門家相談を前提に描く。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白。吹き出しと文字枠は読みやすく、文字量を詰め込みすぎない。
◆【絶対最優先】キャラクター外見: 美奈は添付の美奈.pngと100%同一の外見で描画（35歳女性、肩につく黒髪、淡いブルーのブラウス、ネイビーのロングスカート。健康情報に不安と好奇心を持つ読者代表。）
◆【補足情報】服装: mina_casual
◆【コマ構成】テンプレ6: 右上 / 左上 / 右下 / 左下
◆【作画】ジャンル: 教養漫画に最適化した統一スタイル / 作画スタイル: 落ち着いた日本のアニメ・マンガ調、清潔な線画、フルカラー / 色調: 白・淡い青・深緑・暖かい橙をバランスよく使う / 演出: 不安を煽らず、図解・ノート・ホワイトボードを活用する
◆【ストーリー】
1コマ目 (右上): カード整理。状況が伝わる引きの絵。 セリフ: なし ナレーション: ［四角枠］関連は原因ではない。 オノマトペ: なし
2コマ目 (左上): 関連主張をカードにする。 セリフ: 美奈「体調と関係するかもしれない、ですね。」 ナレーション: なし オノマトペ: なし
3コマ目 (右下): ノートや図解で要点を整理する。 セリフ: なし ナレーション: ［四角枠］主張・根拠・行動を分けて読む。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""関連は原因ではない。""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""美奈"", ""text"": ""体調と関係するかもしれない、ですね。""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""主張・根拠・行動を分けて読む。""}]",mina_casual
10,テンプレ5,"◆【注意】【】で囲まれた語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【医療安全】ソマチッドを診断法・治療法として推奨しない。標準医療の中止や受診遅れを促さない。健康行動は専門家相談を前提に描く。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白。吹き出しと文字枠は読みやすく、文字量を詰め込みすぎない。
◆【絶対最優先】キャラクター外見: 佐伯は添付の佐伯.pngと100%同一の外見で描画（48歳男性、短い黒髪に少し白髪、薄い縁の眼鏡、白シャツと深緑のカーディガン。科学コミュニケーター。）
◆【補足情報】服装: saeki_default
◆【コマ構成】テンプレ5: 上段 / 中段 / 下段
◆【作画】ジャンル: 教養漫画に最適化した統一スタイル / 作画スタイル: 落ち着いた日本のアニメ・マンガ調、清潔な線画、フルカラー / 色調: 白・淡い青・深緑・暖かい橙をバランスよく使う / 演出: 不安を煽らず、図解・ノート・ホワイトボードを活用する
◆【ストーリー】
1コマ目 (上段): カード整理。状況が伝わる引きの絵。 セリフ: なし ナレーション: ［四角枠］診断の言葉には重みがある。 オノマトペ: なし
2コマ目 (中段): 診断主張を慎重に扱う。 セリフ: 佐伯「診断に使えると言うなら、別の根拠が必要です。」 ナレーション: なし オノマトペ: なし
3コマ目 (下段): ノートや図解で要点を整理する。 セリフ: なし ナレーション: ［四角枠］主張・根拠・行動を分けて読む。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""診断の言葉には重みがある。""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""佐伯"", ""text"": ""診断に使えると言うなら、別の根拠が必要です。""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""主張・根拠・行動を分けて読む。""}]",saeki_default
