"テンプレ","プロンプト","JSON","outfit"
"テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: グレーのスウェット上下、髪を緩くまとめ、素足（深夜〜早朝のPC作業・在宅集中タイム）
◆【コマ構成】テンプレ5: 上中下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): ミサキがノートに週間投稿スケジュールを書いている。月〜日で7つのテーマが並んでいる。 セリフ: なし ナレーション: ［四角枠］毎週日曜の夜、ミサキはClaudeと来週の投稿テーマを7本決めた。 オノマトペ: カリカリ
2コマ目 (中段): Claudeのチャット画面。「今週の育児で印象に残った出来事を7つ教えてください」という入力と、箇条書きの回答が見える。 セリフ: なし ナレーション: ［四角枠］「今週の育児で印象に残った出来事を教えてください」——それだけで、投稿案が7本生成された。 オノマトペ: なし
3コマ目 (下段): ミサキがノートを見てにっこりしている。 セリフ: ［ミサキ（内心）］の吹き出しに「これで今週も迷わない」 ナレーション: なし オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""毎週日曜の夜、ミサキはClaudeと来週の投稿テーマを7本決めた。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""「今週の育児で印象に残った出来事を教えてください」——それだけで、投稿案が7本生成された。""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""ミサキ（内心）"", ""text"": ""これで今週も迷わない""}]","misaki_work_home"
"テンプレ6","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: グレーのスウェット上下、髪を緩くまとめ、素足（深夜〜早朝のPC作業・在宅集中タイム）
◆【コマ構成】テンプレ6: 上1コマ＋下左右2コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上): 深夜、ミサキがスマホのInstagramを眺めている。フォロワー数が増えていない。 セリフ: ［ミサキ（内心）］の吹き出しに「毎日投稿してるのに……なんで届かないんだろう」 ナレーション: なし オノマトペ: なし
2コマ目 (下右): ミサキが他のInstagramアカウントと自分の投稿を見比べる。 セリフ: ［ミサキ（内心）］の吹き出しに「このアカウントはフォロワー5000人……私と何が違うんだろう」 ナレーション: なし オノマトペ: なし
3コマ目 (下左): ミサキが両手で顔を覆う。 セリフ: なし ナレーション: ［四角枠］比べてはいけないとわかっていた。それでも比べてしまう。 オノマトペ: はぁ……","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミサキ（内心）"", ""text"": ""毎日投稿してるのに……なんで届かないんだろう""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ（内心）"", ""text"": ""このアカウントはフォロワー5000人……私と何が違うんだろう""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""比べてはいけないとわかっていた。それでも比べてしまう。""}]","misaki_work_home"
"テンプレ4","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: グレーのスウェット上下、髪を緩くまとめ、素足（深夜〜早朝のPC作業・在宅集中タイム）
◆【コマ構成】テンプレ4: 上大下小
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上・大): 8日目。スマホに見知らぬアカウントからのコメント通知が来る。「夜泣きで悩んでたので参考になりました」という文字。ミサキが目を見開く。 セリフ: ［ミサキ（内心）］の吹き出しに「……届いた。知らない人に、届いた」 ナレーション: ［四角枠］8日目。初めてスパムではないコメントが来た。 オノマトペ: ピロン！
2コマ目 (下・小): ミサキが画面を見つめて泣きそうになっている。 セリフ: なし ナレーション: ［四角枠］たった一件。でも、その一件がすべてを変えた。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミサキ（内心）"", ""text"": ""……届いた。知らない人に、届いた""}, {""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""8日目。初めてスパムではないコメントが来た。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""たった一件。でも、その一件がすべてを変えた。""}]","misaki_work_home"
"テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: グレーのスウェット上下、髪を緩くまとめ、素足（深夜〜早朝のPC作業・在宅集中タイム）
◆【コマ構成】テンプレ5: 上中下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): ミサキがClaudeに長い指示を打っている。以前より明らかに長く、具体的な内容。 セリフ: なし ナレーション: ［四角枠］タクヤのアドバイスを受けた翌日から、指示の書き方が変わった。 オノマトペ: カチカチカチカチ
2コマ目 (中段): Claudeからの返答が画面に流れる。以前より鮮やかな、ミサキの体験に寄り添った文章。 セリフ: ［ミサキ（内心）］の吹き出しに「……全然違う。全然違う文章だ」 ナレーション: なし オノマトペ: なし
3コマ目 (下段): ミサキが画面を見て目が光る。 セリフ: なし ナレーション: ［四角枠］ぱぁっ、と画面が輝いて見えた——気がした。 オノマトペ: ぱぁっ","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""タクヤのアドバイスを受けた翌日から、指示の書き方が変わった。""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ（内心）"", ""text"": ""……全然違う。全然違う文章だ""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""ぱぁっ、と画面が輝いて見えた——気がした。""}]","misaki_work_home"
"テンプレ7","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー（自宅・外出・育児中の普段着）
◆【コマ構成】テンプレ7: 上右左2コマ＋下1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上右): 支援センターでミサキが他のママと話している。 セリフ: ［ママ友（画面外）］の吹き出しに「実家が近くていいな」 ナレーション: なし オノマトペ: なし
2コマ目 (上左): ミサキが心の中で「比べちゃいけない、わかってるけど……」と感じている。笑顔の裏に複雑な表情。 セリフ: ［ミサキ（内心）］の吹き出しに「比べちゃいけないとわかってるのに……」 ナレーション: なし オノマトペ: なし
3コマ目 (下段): 夜、その出来事をClaudeに打ち込むミサキ。「昨日、支援センターで——」と入力している。 セリフ: なし ナレーション: ［四角枠］その日の夜、ミサキはその気持ちをそのままClaudeに打ち込んだ。 オノマトペ: カチカチ","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ママ友（画面外）"", ""text"": ""実家が近くていいな""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ（内心）"", ""text"": ""比べちゃいけないとわかってるのに……""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""その日の夜、ミサキはその気持ちをそのままClaudeに打ち込んだ。""}]","misaki_casual"
"テンプレ6","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー（自宅・外出・育児中の普段着）
◆【コマ構成】テンプレ6: 上1コマ＋下左右2コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上): ひなたが初めて「ママ」と言う瞬間。ミサキが驚いて抱き寄せる。 セリフ: ［ひなた］の吹き出しに「まま」 ナレーション: ［四角枠］その日の午後、ひなたが初めて「ママ」と言った。 オノマトペ: ！
2コマ目 (下右): ミサキがひなたを抱きしめる。嬉しくて涙が出そう。 セリフ: ［ミサキ］の吹き出しに「ひなた……！ 言えたね、ママって！」 ナレーション: なし オノマトペ: なし
3コマ目 (下左): ミサキがスマホでケンタに電話しようとして、気づく。仕事中だ。ひなたと二人。 セリフ: なし ナレーション: ［四角枠］その瞬間にケンタが仕事でいなかった。嬉しさと寂しさが同居する、ワンオペ育児特有の感情。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ひなた"", ""text"": ""まま""}, {""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""その日の午後、ひなたが初めて「ママ」と言った。""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""ひなた……！ 言えたね、ママって！""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""その瞬間にケンタが仕事でいなかった。嬉しさと寂しさが同居する、ワンオペ育児特有の感情。""}]","misaki_casual"
"テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, ケンタは添付のケンタ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー（自宅・外出・育児中の普段着）
◆【コマ構成】テンプレ5: 上中下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 夜、帰宅したケンタにミサキが報告する。 セリフ: ［ミサキ］の吹き出しに「今日ひなたが〝ママ〟って初めて言ったんだよ！」 ナレーション: なし オノマトペ: なし
2コマ目 (中段): ケンタが少し悲しそうな顔をする。 セリフ: ［ケンタ］の吹き出しに「……そうか。見たかったな」 ナレーション: なし オノマトペ: なし
3コマ目 (下段): 二人の間に微妙な空気が流れる。ひなたが無邪気に二人の顔を見比べている。 セリフ: なし ナレーション: ［四角枠］仕事で見られなかったケンタ。でも稼ぐためには働かないといけない。誰も悪くない、でも誰かが犠牲になる。これもワンオペの現実だった。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""今日ひなたが〝ママ〟って初めて言ったんだよ！""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ケンタ"", ""text"": ""……そうか。見たかったな""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""仕事で見られなかったケンタ。でも稼ぐためには働かないといけない。誰も悪くない、でも誰かが犠牲になる。これもワンオペの現実だった。""}]","kenta_work_casual"
"テンプレ3","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: グレーのスウェット上下、髪を緩くまとめ、素足（深夜〜早朝のPC作業・在宅集中タイム）
◆【コマ構成】テンプレ3: 上小下大
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上・小): ミサキがClaudeに「ひなたの〝ママ〟発語体験」を打ち込んでいる。 セリフ: なし ナレーション: ［四角枠］その夜、ミサキはひなたの「ママ」体験をそのまま打ち込んだ。嬉しさも、寂しさも、全部。 オノマトペ: なし
2コマ目 (下・大): 完成した投稿を読んで、ミサキが静かに泣いている。涙が光っている。しかし表情は穏やかで充実している。 セリフ: ［ミサキ（内心）］の吹き出しに「これが〝ミサキの言葉〟だ」 ナレーション: ［四角枠］事務職で「わかりやすく伝える」訓練を積んできた5年間が、こんな形で活きるとは——。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""その夜、ミサキはひなたの「ママ」体験をそのまま打ち込んだ。嬉しさも、寂しさも、全部。""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ（内心）"", ""text"": ""これが〝ミサキの言葉〟だ""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""事務職で「わかりやすく伝える」訓練を積んできた5年間が、こんな形で活きるとは——。""}]","misaki_work_home"
"テンプレ6","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー（自宅・外出・育児中の普段着）
◆【コマ構成】テンプレ6: 上1コマ＋下左右2コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上): 深夜。突然「ガタッ」という音。ひなたが布団から転がり落ちて泣き叫ぶ。激しい効果線。 セリフ: なし ナレーション: ［四角枠］転機のまさにその矢先だった。 オノマトペ: ガタッ！ えーんえーん！
2コマ目 (下右): ミサキがひなたを抱いて体温計を当てる。表示は38.5℃。 セリフ: ［ミサキ（内心）］の吹き出しに「……38度5分」 ナレーション: なし オノマトペ: ピッ
3コマ目 (下左): ミサキが天井を見上げてため息。覚悟を決めた顔。 セリフ: なし ナレーション: ［四角枠］小児科は明日だ。まず今夜を乗り切ろう。 オノマトペ: はぁ","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""転機のまさにその矢先だった。""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ（内心）"", ""text"": ""……38度5分""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""小児科は明日だ。まず今夜を乗り切ろう。""}]","misaki_casual"
"テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー（自宅・外出・育児中の普段着）
◆【コマ構成】テンプレ5: 上中下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): ひなたを膝に乗せながら、ミサキが眠い目でスマホを見ている。深夜2時の表示。 セリフ: なし ナレーション: ［四角枠］深夜2時。ひなたの熱はまだ下がらない。 オノマトペ: なし
2コマ目 (中段): ひなたが額に濡れタオルを乗せて眠っている。ミサキが隣で寄り添っている。 セリフ: ［ミサキ（内心）］の吹き出しに「ケンタに電話……でも明日仕事があるし」 ナレーション: なし オノマトペ: なし
3コマ目 (下段): ミサキが一人、暗いリビングでひなたを抱いている。孤独だが強い表情。 セリフ: なし ナレーション: ［四角枠］一人で抱えるということの、重さと温かさを同時に感じた夜だった。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""深夜2時。ひなたの熱はまだ下がらない。""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ（内心）"", ""text"": ""ケンタに電話……でも明日仕事があるし""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""一人で抱えるということの、重さと温かさを同時に感じた夜だった。""}]","misaki_casual"
