ページ番号,使用するコマ割りテンプレ,漫画作成のプロンプト,コマ別テキストJSON,outfit_id
1,テキストページ,"◆【テキストページ】タイトル: ChatGPT 5.5時代の結論 マンガ版
収録: プロローグ / 第1章 / 第2章 / 第3章 / 第4章 / 第5章 / エピローグ",[],
2,テンプレ1,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】現代ビジネス成長マンガ。日本のアニメ・マンガ調、クリーンな線画、明るいデジタル彩色、表情豊か、ビジネス書の読みやすさ、白と青と緑を基調にした清潔な画面。ステップ図解は禁止。
◆【絶対最優先】キャラクター外見: 高橋ミナは添付の高橋ミナ.pngと100%同一の外見、佐伯レンは添付の佐伯レン.pngと100%同一の外見、真田ユイは添付の真田ユイ.pngと100%同一の外見で描画。
◆【コマ構成】テンプレ1: ページ全体の1コマ
◆【ストーリー】
1コマ目: 白背景に3人の全身立ち姿。ミナはノートPCを抱え不安、レンは落ち着いて微笑む、ユイはメモを持って前向き。ナレーション: ［四角枠］AI選びに迷う人たちの物語が始まる。","[{""panel_id"":1,""type"":""narration"",""speaker"":null,""text"":""AI選びに迷う人たちの物語が始まる。""}]",mina_work;ren_mentor;yui_office
3,テンプレ5,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】現代ビジネス成長マンガ。日本のアニメ・マンガ調、クリーンな線画、明るいデジタル彩色、表情豊か、ビジネス書の読みやすさ、白と青と緑を基調にした清潔な画面。ステップ図解は禁止。
◆【絶対最優先】キャラクター外見: 高橋ミナは添付の高橋ミナ.pngと100%同一の外見、佐伯レンは添付の佐伯レン.pngと100%同一の外見、真田ユイは添付の真田ユイ.pngと100%同一の外見で描画。
◆【補足情報】服装: mina_home
◆【コマ構成】テンプレ5
◆【ストーリー】
1コマ目: 夜の自宅でミナが複数のAI画面に囲まれて疲れている。 セリフ: ［ミナ］の吹き出しに「どれを使えばいいの？」 ナレーション: ［四角枠］生成AIは仕事を楽にするはずだった。 オノマトペ: なし","[{""panel_id"":1,""type"":""dialogue"",""speaker"":""ミナ"",""text"":""どれを使えばいいの？""},{""panel_id"":1,""type"":""narration"",""speaker"":null,""text"":""生成AIは仕事を楽にするはずだった。""}]",mina_home
4,テンプレ6,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】現代ビジネス成長マンガ。日本のアニメ・マンガ調、クリーンな線画、明るいデジタル彩色、表情豊か、ビジネス書の読みやすさ、白と青と緑を基調にした清潔な画面。ステップ図解は禁止。
◆【絶対最優先】キャラクター外見: 高橋ミナは添付の高橋ミナ.pngと100%同一の外見、佐伯レンは添付の佐伯レン.pngと100%同一の外見、真田ユイは添付の真田ユイ.pngと100%同一の外見で描画。
◆【補足情報】服装: yui_office
◆【コマ構成】テンプレ6
◆【ストーリー】
1コマ目: ユイが相談チャットを開きながら困惑し、ミナにメッセージする。 セリフ: ［ユイ］の吹き出しに「ChatGPT、Claude、Gemini……結局どれですか？」 ナレーション: ［四角枠］選択肢が増えるほど、迷いも増えていく。 オノマトペ: なし","[{""panel_id"":1,""type"":""dialogue"",""speaker"":""ユイ"",""text"":""ChatGPT、Claude、Gemini……結局どれですか？""},{""panel_id"":1,""type"":""narration"",""speaker"":null,""text"":""選択肢が増えるほど、迷いも増えていく。""}]",yui_office
5,テンプレ4,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】現代ビジネス成長マンガ。日本のアニメ・マンガ調、クリーンな線画、明るいデジタル彩色、表情豊か、ビジネス書の読みやすさ、白と青と緑を基調にした清潔な画面。ステップ図解は禁止。
◆【絶対最優先】キャラクター外見: 高橋ミナは添付の高橋ミナ.pngと100%同一の外見、佐伯レンは添付の佐伯レン.pngと100%同一の外見、真田ユイは添付の真田ユイ.pngと100%同一の外見で描画。
◆【補足情報】服装: ren_mentor
◆【コマ構成】テンプレ4
◆【ストーリー】
1コマ目: カフェでレンが二人に問いかける。ミナとユイははっとする。 セリフ: ［レン］の吹き出しに「AIを使いたいのか、AIを選び続けたいのか。」 ナレーション: ［四角枠］問いはシンプルだった。 オノマトペ: なし","[{""panel_id"":1,""type"":""dialogue"",""speaker"":""レン"",""text"":""AIを使いたいのか、AIを選び続けたいのか。""},{""panel_id"":1,""type"":""narration"",""speaker"":null,""text"":""問いはシンプルだった。""}]",ren_mentor
6,テンプレ5,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】現代ビジネス成長マンガ。日本のアニメ・マンガ調、クリーンな線画、明るいデジタル彩色、表情豊か、ビジネス書の読みやすさ、白と青と緑を基調にした清潔な画面。ステップ図解は禁止。
◆【絶対最優先】キャラクター外見: 高橋ミナは添付の高橋ミナ.pngと100%同一の外見、佐伯レンは添付の佐伯レン.pngと100%同一の外見、真田ユイは添付の真田ユイ.pngと100%同一の外見で描画。
◆【補足情報】服装: ren_mentor
◆【コマ構成】テンプレ5
◆【ストーリー】
1コマ目: レンがホワイトボードに中心と周辺の丸を描き、二人が見る。 セリフ: ［レン］の吹き出しに「2026年5月時点では、いったんChatGPTだけでいい。」 ナレーション: ［四角枠］ただし、それは永遠の正解ではない。 オノマトペ: なし","[{""panel_id"":1,""type"":""dialogue"",""speaker"":""レン"",""text"":""2026年5月時点では、いったんChatGPTだけでいい。""},{""panel_id"":1,""type"":""narration"",""speaker"":null,""text"":""ただし、それは永遠の正解ではない。""}]",ren_mentor
7,テンプレ3,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】現代ビジネス成長マンガ。日本のアニメ・マンガ調、クリーンな線画、明るいデジタル彩色、表情豊か、ビジネス書の読みやすさ、白と青と緑を基調にした清潔な画面。ステップ図解は禁止。
◆【絶対最優先】キャラクター外見: 高橋ミナは添付の高橋ミナ.pngと100%同一の外見、佐伯レンは添付の佐伯レン.pngと100%同一の外見、真田ユイは添付の真田ユイ.pngと100%同一の外見で描画。
◆【補足情報】服装: mina_work
◆【コマ構成】テンプレ3
◆【ストーリー】
1コマ目: ミナが驚き、ユイがメモを取る。 セリフ: ［ミナ］の吹き出しに「そんなに言い切っていいんですか？」 ナレーション: ［四角枠］ここから結論の理由をたどっていく。 オノマトペ: なし","[{""panel_id"":1,""type"":""dialogue"",""speaker"":""ミナ"",""text"":""そんなに言い切っていいんですか？""},{""panel_id"":1,""type"":""narration"",""speaker"":null,""text"":""ここから結論の理由をたどっていく。""}]",mina_work
8,テンプレ5,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】現代ビジネス成長マンガ。日本のアニメ・マンガ調、クリーンな線画、明るいデジタル彩色、表情豊か、ビジネス書の読みやすさ、白と青と緑を基調にした清潔な画面。ステップ図解は禁止。
◆【絶対最優先】キャラクター外見: 高橋ミナは添付の高橋ミナ.pngと100%同一の外見、佐伯レンは添付の佐伯レン.pngと100%同一の外見、真田ユイは添付の真田ユイ.pngと100%同一の外見で描画。
◆【補足情報】服装: ren_mentor
◆【コマ構成】テンプレ5
◆【ストーリー】
1コマ目: 第1章の扉。ChatGPTを中心に、文章、調査、資料、画像の抽象アイコンが集まる。 セリフ: ［レン］の吹き出しに「GPT-5.5で、作業の流れが一つにつながった。」 ナレーション: ［四角枠］第1章 GPT-5.5で何が変わったのか。 オノマトペ: なし","[{""panel_id"":1,""type"":""dialogue"",""speaker"":""レン"",""text"":""GPT-5.5で、作業の流れが一つにつながった。""},{""panel_id"":1,""type"":""narration"",""speaker"":null,""text"":""第1章 GPT-5.5で何が変わったのか。""}]",ren_mentor
9,テンプレ6,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】現代ビジネス成長マンガ。日本のアニメ・マンガ調、クリーンな線画、明るいデジタル彩色、表情豊か、ビジネス書の読みやすさ、白と青と緑を基調にした清潔な画面。ステップ図解は禁止。
◆【絶対最優先】キャラクター外見: 高橋ミナは添付の高橋ミナ.pngと100%同一の外見、佐伯レンは添付の佐伯レン.pngと100%同一の外見、真田ユイは添付の真田ユイ.pngと100%同一の外見で描画。
◆【補足情報】服装: mina_work
◆【コマ構成】テンプレ6
◆【ストーリー】
1コマ目: ミナが紹介文、調査、スライドを一つの画面で整理する。 セリフ: ［ミナ］の吹き出しに「前提を何度も説明しなくていい……！」 ナレーション: ［四角枠］文脈が一か所に集まると、作業は途切れにくい。 オノマトペ: なし","[{""panel_id"":1,""type"":""dialogue"",""speaker"":""ミナ"",""text"":""前提を何度も説明しなくていい……！""},{""panel_id"":1,""type"":""narration"",""speaker"":null,""text"":""文脈が一か所に集まると、作業は途切れにくい。""}]",mina_work
10,テンプレ7,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】現代ビジネス成長マンガ。日本のアニメ・マンガ調、クリーンな線画、明るいデジタル彩色、表情豊か、ビジネス書の読みやすさ、白と青と緑を基調にした清潔な画面。ステップ図解は禁止。
◆【絶対最優先】キャラクター外見: 高橋ミナは添付の高橋ミナ.pngと100%同一の外見、佐伯レンは添付の佐伯レン.pngと100%同一の外見、真田ユイは添付の真田ユイ.pngと100%同一の外見で描画。
◆【補足情報】服装: yui_office
◆【コマ構成】テンプレ7
◆【ストーリー】
1コマ目: ユイがSNS案と資料案を比べ、明るい表情になる。 セリフ: ［ユイ］の吹き出しに「AIに聞く前に迷う時間が減りました。」 ナレーション: ［四角枠］AI選びより、仕事そのものに集中できる。 オノマトペ: なし","[{""panel_id"":1,""type"":""dialogue"",""speaker"":""ユイ"",""text"":""AIに聞く前に迷う時間が減りました。""},{""panel_id"":1,""type"":""narration"",""speaker"":null,""text"":""AI選びより、仕事そのものに集中できる。""}]",yui_office
11,テンプレ4,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】現代ビジネス成長マンガ。日本のアニメ・マンガ調、クリーンな線画、明るいデジタル彩色、表情豊か、ビジネス書の読みやすさ、白と青と緑を基調にした清潔な画面。ステップ図解は禁止。
◆【絶対最優先】キャラクター外見: 高橋ミナは添付の高橋ミナ.pngと100%同一の外見、佐伯レンは添付の佐伯レン.pngと100%同一の外見、真田ユイは添付の真田ユイ.pngと100%同一の外見で描画。
◆【補足情報】服装: ren_mentor
◆【コマ構成】テンプレ4
◆【ストーリー】
1コマ目: レンが手を広げて説明し、背景に文章・調査・データの流れ。 セリフ: ［レン］の吹き出しに「細かな得意不得意より、全体を進められることが大事だ。」 ナレーション: ［四角枠］総合力が上がると、使い分けの前提が変わる。 オノマトペ: なし","[{""panel_id"":1,""type"":""dialogue"",""speaker"":""レン"",""text"":""細かな得意不得意より、全体を進められることが大事だ。""},{""panel_id"":1,""type"":""narration"",""speaker"":null,""text"":""総合力が上がると、使い分けの前提が変わる。""}]",ren_mentor
