"ページ番号","使用するコマ割りテンプレ","漫画作成のプロンプト","コマ別テキストJSON"
"1","テキストページ","◆【テキストページ】このページは画像生成不要。EPUB製本時にテキストとして直接レンダリングする。
◆【目次】
出産でキャリアを失った元事務職ママが、AIで初めて稼ぐまで　第4巻

【目次】

　第8話　フォロワー100人の夜
　　コラム⑧
　第9話　1,280円の重み
　　コラム⑨
　第10話　私のキャリアは、私が決める
　　コラム⑩
","[]"
"2","テキストページ","◆【テキストページ】このページは画像生成不要。EPUB製本時にテキストとして直接レンダリングする。
◆【前巻までのあらすじ】
【前巻（第1〜3巻）までのあらすじ】

佐藤ミサキ（32歳）は出産を機に退職後、メンターのタクヤに出会い、AIツールClaudeを使い始めた。Instagramで育児×キャリアの発信を始め、フォロワー70人まで成長。さらに成長を続けるミサキの前に、新しい挑戦が待っていた——。
","[]"
"3","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【補足情報】演出: キャラクター紹介ページ
◆【コマ構成】テンプレ5: 上・中・下3段
◆【ストーリー】
1コマ目 (上段): 登場人物紹介。ミサキとひなたのイラスト。 ナレーション: ミサキ 32歳 主人公 / ひなた 2歳 ミサキの娘
2コマ目 (中段): ケンタのイラスト。 ナレーション: ケンタ 34歳 ミサキの夫
3コマ目 (下段): タクヤのイラスト。 ナレーション: タクヤ 42歳 メンター","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""ミサキ 32歳 主人公""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""ひなた 2歳 ミサキの娘""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""ケンタ 34歳 ミサキの夫""}, {""panel_id"": 4, ""type"": ""narration"", ""speaker"": null, ""text"": ""タクヤ 42歳 メンター""}]"
"4","テンプレ1","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】画像は縦長（高さ:幅＝1:1.4）で生成してください
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【演出】パソコン作業,スマホ,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【コマ構成】テンプレ1: 1コマ
◆【ストーリー】
夜の静かな部屋。ミサキがスマホを見つめている。集中線演出。","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""第8話「フォロワー100人の夜」""}]"
"5","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】画像は縦長（高さ:幅＝1:1.4）で生成してください
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【演出】パソコン作業,スマホ,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【コマ構成】テンプレ5: 3コマ（上段・中段・下段）
◆【ストーリー】
1コマ目(上段): カレンダー2ヶ月分にバツ印が並んでいる。2コマ目(中段): スマホ画面にフォロワー70人と表示されている。3コマ目(下段): ミサキがソファに座り考え込んでいる。","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""投稿を続けて2ヶ月が経った——毎日続けた。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""フォロワー70人——数字が伸び悩んでいた。""}, {""panel_id"": 3, ""type"": ""monologue"", ""speaker"": null, ""text"": ""何かが足りない——でも何が足りないか分からない。""}]"
"6","テンプレ4","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】画像は縦長（高さ:幅＝1:1.4）で生成してください
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【演出】パソコン作業,スマホ,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【コマ構成】テンプレ4: 2コマ（左・右）
◆【ストーリー】
1コマ目(左): ミサキが暗い表情でスマホを見ている。2コマ目(右): スマホのフォロワー数画面のアップ。","[{""panel_id"": 1, ""type"": ""monologue"", ""speaker"": null, ""text"": ""毎日投稿してきた——それでもこの数字。""}, {""panel_id"": 2, ""type"": ""monologue"", ""speaker"": null, ""text"": ""このまま続けても意味があるのか——""}]"
"7","テンプレ3","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】画像は縦長（高さ:幅＝1:1.4）で生成してください
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【演出】パソコン作業,スマホ,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【コマ構成】テンプレ3: 2コマ（上段小・下段大）
◆【ストーリー】
1コマ目(上段小): ミサキが手を止めている。2コマ目(下段大): ミサキが暗い表情で考えている。","[{""panel_id"": 1, ""type"": ""monologue"", ""speaker"": null, ""text"": ""どこかで間違えているのかもしれない——""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""ミサキは椅子にもたれて天井を見上げた。""}]"
"8","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】画像は縦長（高さ:幅＝1:1.4）で生成してください
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【演出】パソコン作業,スマホ,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【コマ構成】テンプレ5: 3コマ（上段・中段・下段）
◆【ストーリー】
1コマ目(上段): ミサキがパソコンを開いている。2コマ目(中段): Claudeのチャット画面が開いている。3コマ目(下段): ミサキが投稿データを入力している。","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""ミサキはClaudeに分析を依頼することにした。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""2ヶ月分の投稿データを全部入力した。""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""エンゲージメント率、保存数、コメント数——""}]"
"9","テンプレ3","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】画像は縦長（高さ:幅＝1:1.4）で生成してください
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【演出】パソコン作業,スマホ,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【コマ構成】テンプレ3: 2コマ（上段小・下段大）
◆【ストーリー】
1コマ目(上段小): Claudeが分析中の画面。2コマ目(下段大): 分析結果が表示され始める。","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""Claudeが全データを丁寧に分析していく。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""分析結果が出た——数値が並んでいる。""}]"
"10","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画、ケンタは添付のケンタ.pngと100%同一の外見で描画、ひなた（2歳期）は添付のひなた_2歳期.pngと100%同一の外見で描画、タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】画像は縦長（高さ:幅＝1:1.4）で生成してください
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現
◆【演出】パソコン作業,スマホ,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【コマ構成】テンプレ5: 3コマ（上段・中段・下段）
◆【ストーリー】
1コマ目(上段): グラフが表示されている——反応の高い投稿が明確に示されている。2コマ目(中段): 上位の投稿タイプが一覧になっている。3コマ目(下段): ミサキが目を見開いている。","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""失敗体験を正直に書いた投稿が上位を占めていた。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""感情が剥き出しで書かれた投稿——""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""それが最も高い反応を得ていた。""}]"
